Occupancy rating for bedrooms (3 categories),Ethnic group (8 categories),Observation
Occupancy rating: 0 or more,"Asian, Asian British or Asian Welsh",1412932
Occupancy rating: 0 or more,"Black, Black British, Black Welsh, Caribbean or African",771032
Occupancy rating: 0 or more,Mixed or Multiple ethnic groups,373399
Occupancy rating: 0 or more,"White: English, Welsh, Scottish, Northern Irish or British",19149583
Occupancy rating: 0 or more,White: Irish,281584
Occupancy rating: 0 or more,"White: Gypsy or Irish Traveller, Roma or Other White",1364563
Occupancy rating: 0 or more,Other ethnic group,375684
Occupancy rating: -1 or less,"Asian, Asian British or Asian Welsh",234426
Occupancy rating: -1 or less,"Black, Black British, Black Welsh, Caribbean or African",145752
Occupancy rating: -1 or less,Mixed or Multiple ethnic groups,29933
Occupancy rating: -1 or less,"White: English, Welsh, Scottish, Northern Irish or British",428148
Occupancy rating: -1 or less,White: Irish,6312
Occupancy rating: -1 or less,"White: Gypsy or Irish Traveller, Roma or Other White",147132
Occupancy rating: -1 or less,Other ethnic group,62720
